Date,Returns
2020-01-03,-0.007059870562045378
2020-01-06,0.0035333728907271933
2020-01-07,-0.0028032386528962228
2020-01-08,0.004902451368978156
2020-01-09,0.006655262605488987
2020-01-10,-0.002855178689662563
2020-01-13,0.006976215252569862
2020-01-14,-0.001514532772802224
2020-01-15,0.0018701968845122874
2020-01-16,0.00836655302646827
2020-01-17,0.003862162248501333
2020-01-21,-0.0026519776473655776
2020-01-22,0.0002890760711180551
2020-01-23,0.0011409766124783616
2020-01-24,-0.009042160974207403
2020-01-27,-0.015730711659182384
2020-01-28,0.010053584595046017
2020-01-29,-0.0008668741908683941
2020-01-30,0.003134358792605374
2020-01-31,-0.01770582037552626
2020-02-03,0.007254613892351713
2020-02-04,0.014980414164082134
2020-02-05,0.01125059589785371
2020-02-06,0.003325672876785646
2020-02-07,-0.005400853672730133
2020-02-10,0.007326397804890528
2020-02-11,0.0016884725532351208
2020-02-12,0.006462646466197652
2020-02-13,-0.0016304457368023773
2020-02-14,0.0018435333204338544
2020-02-18,-0.002919942636890105
2020-02-19,0.004705785881164548
2020-02-20,-0.00381551976362815
2020-02-21,-0.01051810302712286
2020-02-24,-0.03351362667122315
2020-02-25,-0.030279995565056117
2020-02-26,-0.0037785406053220116
2020-02-27,-0.04416324258407911
2020-02-28,-0.008238340444361891
2020-03-02,0.046039229006110016
2020-03-03,-0.028107896121075893
2020-03-04,0.04220259077449118
2020-03-05,-0.033922077046888544
2020-03-06,-0.01705385200037013
2020-03-09,-0.07596969747745097
2020-03-10,0.04939630628156144
2020-03-11,-0.048868445131273974
2020-03-12,-0.09511268097833658
2020-03-13,0.09287124972971839
2020-03-16,-0.11984055240393443
2020-03-17,0.05995484974402432
2020-03-18,-0.051830762729157875
2020-03-19,0.0047078080405855705
2020-03-20,-0.04335951230846191
2020-03-23,-0.02929386782180443
2020-03-24,0.09382773976227554
2020-03-25,0.011535011448221999
2020-03-26,0.062414163303876835
2020-03-27,-0.033687352562252526
2020-03-30,0.03351600948370015
2020-03-31,-0.016012721914555605
2020-04-01,-0.04414243033166543
2020-04-02,0.02282934723487151
2020-04-03,-0.015137125124949469
2020-04-06,0.07033131865275055
2020-04-07,-0.0016030527844311804
2020-04-08,0.03405645287963033
2020-04-09,0.014487410153376512
2020-04-13,-0.010104660822607414
2020-04-14,0.030572589146256046
2020-04-15,-0.022030438529415775
2020-04-16,0.005816689462164515
2020-04-17,0.026793594848223412
2020-04-20,-0.01788104803401469
2020-04-21,-0.030674795694063395
2020-04-22,0.022930247703843776
2020-04-23,-0.0005394221197431159
2020-04-24,0.013918057304545428
2020-04-27,0.014714069804799612
2020-04-28,-0.005242380698498916
2020-04-29,0.026583916282167053
2020-04-30,-0.009212446303987654
2020-05-01,-0.028059034078492195
2020-05-04,0.004249827591976452
2020-05-05,0.009040556385797371
2020-05-06,-0.006979410390386298
2020-05-07,0.011504630788313985
2020-05-08,0.016871538638701944
2020-05-11,0.00013307822091168653
2020-05-12,-0.020500317528877154
2020-05-13,-0.01746272460422804
2020-05-14,0.01152482269503552
2020-05-15,0.0039263632504382695
2020-05-18,0.03150119163168075
2020-05-19,-0.010484399194493177
2020-05-20,0.01665110025908012
2020-05-21,-0.007773596407737116
2020-05-22,0.002353711326488428
2020-05-26,0.012289184036080147
2020-05-27,0.014827297215913804
2020-05-28,-0.0021079145460738413
2020-05-29,0.004812335824971425
2020-06-01,0.003751234813537785
2020-06-02,0.008210832780053412
2020-06-03,0.013648979133831007
2020-06-04,-0.0033687022311144066
2020-06-05,0.026211650818398713
2020-06-08,0.012041579421169235
2020-06-09,-0.007799170822611612
2020-06-10,-0.0053130910724373814
2020-06-11,-0.05894405927443824
2020-06-12,0.013060843963234703
2020-06-15,0.008312217041285264
2020-06-16,0.01896239819380252
2020-06-17,-0.0036002995561740248
2020-06-18,0.0005942198825281686
2020-06-19,-0.005649494809462974
2020-06-22,0.006495095537691675
2020-06-23,0.004307419569164139
2020-06-24,-0.025855145939064572
2020-06-25,0.010959447267809841
2020-06-26,-0.024226905044785974
2020-06-29,0.014685678433118632
2020-06-30,0.015409875731554612
2020-07-01,0.005022132820864389
2020-07-02,0.004541250844364075
2020-07-06,0.01588172586745884
2020-07-07,-0.010818532028197159
2020-07-08,0.007827461915415501
2020-07-09,-0.005643606159361103
2020-07-10,0.01046620127324438
2020-07-13,-0.009362541127788226
2020-07-14,0.013406370782667931
2020-07-15,0.009082050740923053
2020-07-16,-0.0034061012455366413
2020-07-17,0.002848612194617406
2020-07-20,0.0084069387471426
2020-07-21,0.0016790373419135474
2020-07-22,0.005747082068739751
2020-07-23,-0.012319859824193036
2020-07-24,-0.006190400054688405
2020-07-27,0.007395138795039502
2020-07-28,-0.006473392152297919
2020-07-29,0.01242838167815008
2020-07-30,-0.003750251937389204
2020-07-31,0.007670504990141325
2020-08-03,0.00718102343932614
2020-08-04,0.0036119303819721615
2020-08-05,0.006429743053199433
2020-08-06,0.00642769555966427
2020-08-07,0.0006330295486443038
2020-08-10,0.002742218294476073
2020-08-11,-0.007969132154236114
2020-08-12,0.013996549490237653
2020-08-13,-0.002047174350497949
2020-08-14,-0.00017188262276812694
2020-08-17,0.0027098425110787527
2020-08-18,0.002303389154016955
2020-08-19,-0.0044043954214108005
2020-08-20,0.0031586327691348615
2020-08-21,0.0034411070444764214
2020-08-24,0.010043718303008653
2020-08-25,0.0035963511532906
2020-08-26,0.010195626139483993
2020-08-27,0.0016730440109038458
2020-08-28,0.00673256535528588
2020-08-31,-0.0021949627140287475
2020-09-01,0.007525003016613407
